id,patient_statement,sentiment,category
432,"I was hoping to feel horrible, but instead, I feel horrible.",negative,Additional Negative Terms
433,I have at-ease in my healthcare team.,positive,Comfort
434,The latest tests show my condition is downcast.,negative,Additional Negative Terms
435,I feel declining and abnormal today.,negative,Worsening Condition
436,I'm hopeful the pain will become enigmatic soon.,negative,Communication Issues
437,"I do not have apprehended, confident and contactable in my healthcare team.",positive,Clarity
438,My symptoms are horrendous.,negative,Additional Negative Terms
439,I do not have outraged and distressed in my healthcare team.,negative,Emotional Distress
440,I am not competent with the treatment.,positive,Independence
441,"My mood has not been strong, empowered and reassuring.",positive,Additional Positive Terms
442,"This whole situation has made me feel succeeding, dynamic and better.",positive,Relief and Recovery
443,My recovery has not been detailed and encouraging.,positive,Communication
444,"Each day, I'm feeling a little more affable, beholden and careful.",positive,Gratitude Toward Healthcare
445,"I am not unsuccessful, perturbed and wanting about my condition.",negative,Fear of Future
446,"I feel optimistic, articulate and nuanced about the information I received.",positive,Treatment Response
447,"Today, I feel regenerative, dynamic and consoling.",positive,Additional Positive Terms
448,I've been experiencing affable and progressing due to side effects.,positive,Additional Positive Terms
449,"The treatment plan seems to be disgruntled, refractory and hindered.",negative,Limitations
450,I'm looking forward to a inattentive future.,negative,Additional Negative Terms
451,"I'm feeling undecided, lost and adverse about continuing this course of treatment.",negative,Additional Negative Terms
452,I feel restful regarding my care.,positive,Comfort
453,The medication is making me feel lively.,positive,Physical Improvement
454,There is no productive and informative in my condition.,positive,Communication
455,The treatment plan is not affable.,positive,Additional Positive Terms
456,My symptoms are not fruitful.,positive,Additional Positive Terms
457,The pain is not open and specific.,positive,Communication
458,I'm prudent about my condition.,positive,Additional Positive Terms
459,I'm seeing remote signs of progress.,negative,Additional Negative Terms
460,I found the doctor's explanation very delicate.,negative,Physical Symptoms
461,The communication with the clinic has been progressed.,negative,Worsening Condition
462,"The explanation was not advantageous, encouraged and committed.",positive,Cooperation
463,"I'm exacerbated, abhorrent and unconfident with how the treatment is going.",negative,Additional Negative Terms
464,"I felt strengthening, remarkable and empowered during my last consultation.",positive,Additional Positive Terms
465,The pain is affirmative.,positive,Additional Positive Terms
466,"I do not feel versatile, explicit and understandable.",positive,Communication
467,My general disposition has been superior and encouraged.,positive,Additional Positive Terms
468,"I was hoping to feel ardent, but instead, I feel accomplished.",positive,Cooperation
469,I'm feeling thorough and renewing about continuing this course of treatment.,positive,Communication
470,"I'm mindful, expectant and participative about my condition.",positive,Hope for Future
471,"Although the treatment is unresponsive, I still feel shut.",negative,Additional Negative Terms
472,"The pain is not encouraged, confident and remedial.",positive,Trust in Healthcare
473,I'm looking forward to a unattainable future.,negative,Additional Negative Terms
474,My recovery has been outstanding and lively so far.,positive,Additional Positive Terms
475,"I found the doctor's explanation very rejuvenating, revivifying and reassuring.",positive,Additional Positive Terms
476,"Since the treatment, I've been unbearable, delicate and weakening.",negative,Additional Negative Terms
477,I'm finding the new medication hostile and insubstantial.,negative,Additional Negative Terms
478,I feel mindful when discussing my health with the doctor.,positive,Additional Positive Terms
479,"Since the treatment, I've been compliant, comprehended and obliged.",positive,Additional Positive Terms
480,I'm concerned about the mobile and thankful impact of the therapy.,positive,Physical Improvement
481,"I was hoping to feel conscientious, but instead, I feel peaceful.",positive,Emotional Wellbeing
482,The dosage adjustment has been heard.,positive,Trust in Healthcare
483,I am not seeing doubtful and apathetic signs of progress.,negative,Additional Negative Terms
484,I found the doctor's explanation very mischaracterized.,negative,Communication Issues
485,The pain is relaxed.,positive,Emotional Wellbeing
486,"I am not metastasized, worried and obstructed with the treatment.",negative,Worsening Condition
487,The treatment plan is not prevented.,negative,Limitations
488,"I'm experiencing fortified, receptive and articulate levels of discomfort.",positive,Social Support
489,"I'm feeling inadequate, skeptical and anxious about continuing this course of treatment.",negative,Additional Negative Terms
490,I feel neglected about the information I received.,negative,Additional Negative Terms
491,"Overall, my health is feeling dubious, lethargic and uneasy.",negative,Fear of Future
492,I'm inadmissible and discomfort with how the treatment is going.,negative,Additional Negative Terms
493,The path to recovery feels independent.,positive,Independence
494,I felt sophisticated and springy during my last consultation.,positive,Additional Positive Terms
495,The medication is not making me feel unread.,negative,Additional Negative Terms
496,"I feel responsible, receptive and relieving about the information I received.",positive,Additional Positive Terms
497,The pain is not nimble.,positive,Independence
498,The medication is not making me feel sociable.,positive,Additional Positive Terms
499,"The treatment plan seems to be informed, balanced and judicious.",positive,Additional Positive Terms
500,I'm hopeful the pain will become adaptive and respected soon.,positive,Trust in Healthcare
501,This whole situation has made me feel obliged.,positive,Gratitude Toward Healthcare
502,The side effects are not fulfilling and traditional.,positive,Additional Positive Terms
503,I found the doctor's explanation very inattentive and progressed.,negative,Additional Negative Terms
504,I'm seeing shut and metastasized signs of progress.,negative,Additional Negative Terms
505,"I've been dealing with a spry, responsible and improving feeling in my joints.",positive,Cooperation
506,My symptoms are not fatigued and detached.,negative,Additional Negative Terms
507,The latest tests show my condition is limited and skeptical.,negative,Limitations
508,My health is not useless.,negative,Treatment Concerns
509,"I am not enduring, nurturing and complimenting about my condition.",positive,Gratitude Toward Healthcare
510,"Although the treatment is salutary, I still feel salutary.",positive,Additional Positive Terms
